timestamp,open,high,low,close,volume
2025-03-12 00:00:00+05:30,22580.0,22618.8,22380.2,22530.35,78142
2025-03-13 00:00:00+05:30,22550.0,22615.8,22430.1,22444.25,65790
2025-03-17 00:00:00+05:30,22510.2,22670.0,22502.3,22584.3,67599
2025-03-18 00:00:00+05:30,22705.0,22912.7,22672.8,22895.4,89671
2025-03-19 00:00:00+05:30,22934.0,22993.0,22872.0,22972.95,59079
2025-03-20 00:00:00+05:30,23069.9,23232.6,23015.0,23200.25,103958
2025-03-21 00:00:00+05:30,23195.05,23438.0,23172.0,23379.85,89048
2025-03-24 00:00:00+05:30,23482.3,23729.8,23441.5,23699.35,94775
2025-03-25 00:00:00+05:30,23767.1,23893.9,23660.0,23705.35,112607
2025-03-26 00:00:00+05:30,23735.0,23761.4,23494.9,23521.9,110793
2025-03-27 00:00:00+05:30,23470.0,23643.1,23455.05,23593.6,72007
2025-03-28 00:00:00+05:30,23775.05,23801.6,23560.0,23637.65,97506
2025-04-01 00:00:00+05:30,23530.0,23668.0,23290.0,23321.4,122621
2025-04-02 00:00:00+05:30,23326.95,23459.6,23300.0,23438.95,64204
2025-04-03 00:00:00+05:30,23215.0,23411.1,23215.0,23325.95,68519
2025-04-04 00:00:00+05:30,23229.7,23250.0,22920.05,22958.15,108118
2025-04-07 00:00:00+05:30,22201.5,22347.0,21860.0,22263.8,262265
2025-04-08 00:00:00+05:30,22511.6,22744.9,22341.0,22630.35,156069
2025-04-09 00:00:00+05:30,22544.0,22544.0,22405.05,22479.65,90619
2025-04-11 00:00:00+05:30,22746.0,23017.0,22746.0,22917.65,120725
2025-04-15 00:00:00+05:30,23295.0,23399.9,23252.0,23340.9,89235
2025-04-16 00:00:00+05:30,23338.0,23450.0,23277.2,23433.5,71349
2025-04-17 00:00:00+05:30,23399.9,23872.7,23330.0,23851.3,135421
2025-04-21 00:00:00+05:30,23875.9,24194.5,23875.6,24135.5,77342
2025-04-22 00:00:00+05:30,24150.0,24239.8,24077.0,24169.0,87218
2025-04-23 00:00:00+05:30,24310.0,24351.8,24121.1,24312.7,99138
2025-04-24 00:00:00+05:30,24288.0,24360.0,24225.0,24245.7,55201
2025-04-25 00:00:00+05:30,24465.0,24511.0,23975.0,24139.1,168230
2025-04-28 00:00:00+05:30,24200.2,24489.0,24140.0,24452.8,104248
2025-04-29 00:00:00+05:30,24484.0,24567.9,24396.1,24425.3,79024
2025-04-30 00:00:00+05:30,24369.9,24486.0,24348.7,24418.4,69406
2025-05-02 00:00:00+05:30,24399.9,24718.3,24310.0,24400.7,159768
2025-05-05 00:00:00+05:30,24481.1,24630.0,24471.0,24553.7,76211
2025-05-06 00:00:00+05:30,24574.8,24576.8,24410.0,24431.4,65193
2025-05-07 00:00:00+05:30,24343.9,24538.5,24311.0,24461.4,99826
2025-05-08 00:00:00+05:30,24489.0,24523.9,24194.1,24271.9,113537
2025-05-09 00:00:00+05:30,24063.4,24215.0,23984.0,24065.5,150829
2025-05-12 00:00:00+05:30,24476.0,25069.9,24410.0,25044.1,156527
2025-05-13 00:00:00+05:30,24960.0,25044.0,24613.5,24640.2,163428
2025-05-14 00:00:00+05:30,24670.0,24834.4,24572.3,24715.9,87780
2025-05-15 00:00:00+05:30,24733.9,25144.9,24600.0,25078.7,186214
2025-05-16 00:00:00+05:30,25126.1,25149.0,25006.0,25078.7,62198
2025-05-19 00:00:00+05:30,25060.1,25117.2,24952.7,24976.4,52956
2025-05-20 00:00:00+05:30,25040.2,25059.9,24745.0,24774.6,96523
2025-05-21 00:00:00+05:30,24755.3,25019.0,24720.0,24832.2,104176
2025-05-22 00:00:00+05:30,24778.0,24792.9,24515.0,24652.2,113872
2025-05-23 00:00:00+05:30,24656.5,24961.7,24634.9,24879.9,95920
2025-05-26 00:00:00+05:30,24950.0,25123.9,24935.2,25035.9,75338
2025-05-27 00:00:00+05:30,25000.0,25108.8,24739.0,24862.6,146382
2025-05-28 00:00:00+05:30,24772.6,24896.0,24742.5,24762.5,78611
2025-05-29 00:00:00+05:30,24828.6,24900.0,24661.0,24814.2,81101
2025-05-30 00:00:00+05:30,24940.2,24987.7,24840.0,24871.2,69540
2025-06-02 00:00:00+05:30,24799.0,24869.0,24610.0,24826.3,93083
2025-06-03 00:00:00+05:30,24835.0,24929.0,24631.0,24675.3,105510
