timestamp,open,high,low,close,volume
2026-02-10 09:15:00+05:30,25961.0,25988.5,25940.5,25971.0,8294
2026-02-10 09:30:00+05:30,25977.0,26014.5,25966.0,26012.0,5616
2026-02-10 09:45:00+05:30,26012.5,26019.0,25987.2,26009.0,3247
2026-02-10 10:00:00+05:30,26006.0,26017.2,26000.0,26002.2,2144
2026-02-10 10:15:00+05:30,26002.2,26024.9,26000.0,26008.6,1976
2026-02-10 10:30:00+05:30,26010.4,26034.0,26007.8,26010.0,2731
2026-02-10 10:45:00+05:30,26013.5,26022.0,26009.0,26015.9,989
2026-02-10 11:00:00+05:30,26009.5,26023.8,26006.6,26015.8,1479
2026-02-10 11:15:00+05:30,26016.3,26021.6,26000.0,26008.0,1852
2026-02-10 11:30:00+05:30,26008.1,26011.8,25997.0,26006.1,942
2026-02-10 11:45:00+05:30,26001.2,26021.0,25997.0,26018.0,932
2026-02-10 12:00:00+05:30,26018.0,26021.2,26010.4,26019.0,601
2026-02-10 12:15:00+05:30,26019.9,26025.0,26010.8,26011.0,698
2026-02-10 12:30:00+05:30,26014.7,26019.0,26007.3,26018.0,542
2026-02-10 12:45:00+05:30,26019.0,26044.0,26019.0,26036.6,1771
2026-02-10 13:00:00+05:30,26032.6,26039.1,26018.8,26029.8,1013
2026-02-10 13:15:00+05:30,26029.8,26030.0,25985.0,25990.5,2989
2026-02-10 13:30:00+05:30,25990.5,25992.6,25959.9,25980.6,3930
2026-02-10 13:45:00+05:30,25983.3,25990.0,25963.8,25970.0,1774
2026-02-10 14:00:00+05:30,25965.7,25978.0,25952.6,25975.0,2527
2026-02-10 14:15:00+05:30,25975.0,25990.5,25968.3,25974.0,1392
2026-02-10 14:30:00+05:30,25975.2,25983.0,25962.6,25977.6,1557
2026-02-10 14:45:00+05:30,25971.5,25999.0,25971.5,25992.3,2283
2026-02-10 15:00:00+05:30,25993.2,26008.8,25987.1,25992.0,3505
2026-02-10 15:15:00+05:30,25989.1,25994.4,25965.8,25969.2,4215
2026-02-11 09:15:00+05:30,26050.0,26068.0,26030.4,26051.0,6994
2026-02-11 09:30:00+05:30,26055.0,26055.3,25996.7,26010.0,7065
2026-02-11 09:45:00+05:30,26010.0,26025.1,25995.0,26011.0,2653
2026-02-11 10:00:00+05:30,26011.0,26011.0,25980.5,25993.5,2815
2026-02-11 10:15:00+05:30,25993.0,26030.0,25985.7,26025.0,2650
2026-02-11 10:30:00+05:30,26028.3,26043.0,26014.2,26033.0,2878
2026-02-11 10:45:00+05:30,26031.1,26040.0,26011.7,26021.1,1814
2026-02-11 11:00:00+05:30,26020.9,26032.5,25996.7,26010.1,2384
2026-02-11 11:15:00+05:30,26010.4,26028.0,26007.0,26015.0,656
2026-02-11 11:30:00+05:30,26012.9,26037.9,26010.0,26010.0,754
2026-02-11 11:45:00+05:30,26010.8,26021.8,26004.6,26006.2,1064
2026-02-11 12:00:00+05:30,26006.1,26017.9,25987.6,26007.1,1600
2026-02-11 12:15:00+05:30,26007.5,26009.3,25987.5,25995.0,580
2026-02-11 12:30:00+05:30,25995.0,26004.2,25955.0,25969.5,2942
2026-02-11 12:45:00+05:30,25969.5,25987.8,25956.8,25980.0,1659
2026-02-11 13:00:00+05:30,25980.0,25985.0,25963.3,25975.8,601
2026-02-11 13:15:00+05:30,25975.0,25999.4,25970.7,25995.5,752
2026-02-11 13:30:00+05:30,25996.8,26019.9,25992.5,26008.0,1642
2026-02-11 13:45:00+05:30,26008.7,26012.0,25977.9,25982.0,1148
2026-02-11 14:00:00+05:30,25980.0,26010.0,25977.0,26010.0,659
2026-02-11 14:15:00+05:30,26010.3,26020.0,25989.0,25994.0,993
2026-02-11 14:30:00+05:30,25993.1,26010.0,25985.7,25996.5,864
2026-02-11 14:45:00+05:30,25997.3,26008.0,25989.2,26002.3,882
2026-02-11 15:00:00+05:30,26002.0,26015.0,25988.6,25994.8,2673
2026-02-11 15:15:00+05:30,25994.9,26000.0,25985.4,25989.7,4074
2026-02-12 09:15:00+05:30,25950.0,25966.5,25895.0,25895.4,9738
2026-02-12 09:30:00+05:30,25900.0,25910.0,25882.7,25900.1,4229
2026-02-12 09:45:00+05:30,25900.0,25925.4,25890.1,25924.2,2352
2026-02-12 10:00:00+05:30,25920.0,25935.4,25905.5,25935.4,1591
2026-02-12 10:15:00+05:30,25935.4,25938.3,25917.5,25922.6,1916
2026-02-12 10:30:00+05:30,25928.0,25931.0,25904.0,25906.0,1353
2026-02-12 10:45:00+05:30,25905.0,25913.6,25900.0,25904.6,2624
2026-02-12 11:00:00+05:30,25904.4,25916.4,25896.0,25908.8,1951
2026-02-12 11:15:00+05:30,25905.1,25908.4,25878.0,25892.0,2662
2026-02-12 11:30:00+05:30,25892.1,25896.9,25875.0,25891.0,2205
2026-02-12 11:45:00+05:30,25889.5,25894.9,25867.4,25885.0,1924
2026-02-12 12:00:00+05:30,25886.5,25891.6,25870.0,25884.0,1203
2026-02-12 12:15:00+05:30,25886.5,25899.0,25882.0,25890.0,1362
2026-02-12 12:30:00+05:30,25889.7,25905.2,25889.7,25904.6,778
2026-02-12 12:45:00+05:30,25904.5,25913.0,25896.1,25908.7,804
2026-02-12 13:00:00+05:30,25908.2,25913.5,25880.0,25886.9,1038
2026-02-12 13:15:00+05:30,25885.0,25928.0,25880.1,25907.2,1331
2026-02-12 13:30:00+05:30,25907.4,25915.0,25900.0,25902.0,695
2026-02-12 13:45:00+05:30,25902.9,25908.3,25871.1,25881.0,1468
2026-02-12 14:00:00+05:30,25880.9,25888.2,25872.3,25880.6,954
2026-02-12 14:15:00+05:30,25880.5,25893.2,25873.3,25879.0,1126
2026-02-12 14:30:00+05:30,25880.5,25890.0,25860.0,25866.3,1937
2026-02-12 14:45:00+05:30,25866.3,25869.3,25820.0,25839.0,5413
2026-02-12 15:00:00+05:30,25839.0,25878.0,25836.0,25863.6,3686
2026-02-12 15:15:00+05:30,25864.1,25865.8,25848.7,25849.1,5735
2026-02-13 09:15:00+05:30,25724.9,25724.9,25641.1,25645.4,14745
2026-02-13 09:30:00+05:30,25644.0,25645.7,25589.4,25625.7,7737
2026-02-13 09:45:00+05:30,25624.8,25628.0,25600.0,25603.9,4101
2026-02-13 10:00:00+05:30,25605.0,25623.0,25600.0,25601.1,2508
2026-02-13 10:15:00+05:30,25604.9,25615.4,25581.7,25613.8,9300
2026-02-13 10:30:00+05:30,25611.0,25635.0,25610.0,25625.6,3020
2026-02-13 10:45:00+05:30,25625.3,25626.0,25601.0,25615.9,1592
2026-02-13 11:00:00+05:30,25615.3,25617.0,25595.0,25610.0,1150
2026-02-13 11:15:00+05:30,25608.0,25614.8,25589.0,25604.5,1525
2026-02-13 11:30:00+05:30,25604.5,25610.0,25586.6,25610.0,1239
